text,category
"when is our next free day, please",next_holiday
play the next musical number,next_song
change the song to the next one on this playlist,next_song
skip this and go to the next song,next_song
can we skip this song,next_song
please play the next song,next_song
"no, don't do that",no
thatâ€™s actually wrong,no
that is a completely false statement,no
that is untrue,no
i would have to say the answer to that is no,no
how healthy is stax chips,nutrition_info
what's the nutritional info for french fries,nutrition_info
what do you know to be the nutritional info for macaroni and cheese to be,nutrition_info
can you read to me the nutritional info for macaroni and cheese,nutrition_info
how healthy are lunchables,nutrition_info
i need instructions on how to change my car's oil and what type i should buy,oil_change_how
find instructions on how to change my oil,oil_change_how
i want a lesson on changing my oil,oil_change_how
what kind of oil does my car take and how do i do a change,oil_change_how
i don't know how to change my oil or what type i need,oil_change_how
tell me how i know when i need an oil change,oil_change_when
when should my oil get changed,oil_change_when
when is my car due for an oil change,oil_change_when
in how many miles do i need to schedule my oil change,oil_change_when
what is the recommended time frame to change my oil,oil_change_when
please order me a 7lb bag of world's best cat litter from targetcom,order
order everything that's on my list for shopping,order
i'm out of paper towels so will you order me some more,order
i'd like to have everything on my shopping list,order
i want all the things on the shopping list,order
how can i order more checks for my regions bank account,order_checks
i want to order some new checks because i ran out of them,order_checks
is it possible to make an order for more checkbooks for my chase bank account,order_checks
is is possible to order more checkbooks for account ending in sequence 939392,order_checks
order some new checks to replace the ones i ran out of,order_checks
"can i still make changes to my order, or has it already been shipped",order_status
can you tell me if my last amazon order is coming today,order_status
track my package now please,order_status
when can i expect to receive the order,order_status
has the order that i placed arrived,order_status
are you able to help me pay my mortgage,pay_bill
pay the electric bill,pay_bill
pay the cable bill with my visa card,pay_bill
please help me pay my cable bill,pay_bill
i'd really like to pay this bill,pay_bill
when was i last paid,payday
remind me of the date of my last paycheck,payday
please give me the expected arrival date for my next paycheck,payday
let me know when i'm going to be paid,payday
when will i recieve my next paycheck,payday
i would like to replace the pin number for my retirement account,pin_change
i need help changing my pin,pin_change
swap my amex pin to 1234,pin_change
set my amex pin to 1234,pin_change
"i'd like to change the pin on my savings account, please",pin_change
rock playlist please,play_music
play hey jude,play_music
can you play your guitar right now,play_music
look up my maroon 5 playlists; play it,play_music
can you let me listen to elvis,play_music
do i really need a plug converter when in london,plug_type
"when you go to germany, do you need a special converter for your plugs",plug_type
to charge my phone in india will i need a plug converter,plug_type
can you tell me what kind of outlet plug there is over there,plug_type
do visitors to japan need to use a socket converter,plug_type
how many day of my vacation are left for the year,pto_balance
how many vacation days have i accrued,pto_balance
do i have any personal days left,pto_balance
how much pto do i have,pto_balance
how many vacation days do i have to spend,pto_balance
what do i need to do to request vacation time off,pto_request
i'd like for their to be a pto request for me made for the dates june 4th to june 8th,pto_request
"i need to set up a vacation request, what do i need to give you",pto_request
"could you submit a pto request for me for dates april 21 to 30, please",pto_request
create for me a pto request for march 16-21,pto_request
update on vacation request,pto_request_status
has my supervisor approved my vacation,pto_request_status
give me the status of my vacation request,pto_request_status
i need to know if my vacation was approved,pto_request_status
how's my day off request looking,pto_request_status
how many vacation days have i consumed,pto_used
can you count for me the total number of days off i have used,pto_used
tell me how much pto i've used,pto_used
what's the total pto i've used,pto_used
how much pto do i have used up,pto_used
can you find me a recipe for honey ham,recipe
please search for a chocolate fudge brownies recipe,recipe
can you find a recipe on how to make chow mein,recipe
tell me how to make beef wellington,recipe
how can i make chicken pot pie,recipe
cash in rewards for my visa card,redeem_rewards
how can i cash in my credit card points,redeem_rewards
can you explain to me how i ought to use my credit card points,redeem_rewards
what's the procedure to get cash back rewards on my visa,redeem_rewards
do i have enough credit card points to redeem a new appliance,redeem_rewards
read what i added to the reminder list,reminder
my list of reminders is what,reminder
can you tell me what things i was trying to remember,reminder
can you remind me the things i was trying to remember,reminder
please tell me everything on my list of reminders,reminder
remind me to take out the garbage in the morning,reminder_update
set a reminder to go check the mail,reminder_update
can you create a reminder,reminder_update
how about a reminder,reminder_update
i need to take out the trash please remind me,reminder_update
"i missed that last one, please repeat",repeat
would you repeat that,repeat
i didn't catch that say it again,repeat
what was that last thing you said,repeat
repeat what you just told me,repeat
how long does it take to get a replacement credit card when your last one was stolen,replacement_card_duration
what's the typical time it takes for a new card to arrive,replacement_card_duration
when can i expect my new card to get here,replacement_card_duration
how long will it take for me to get a new credit card to replace the one that was stolen,replacement_card_duration
my last card was stolen and i want to know how long until i get my new one,replacement_card_duration
i'm pretty sure this charge is fraudulent,report_fraud
"i want to report fraudulent activity on my visa card, please",report_fraud
i suspect some suspicious activity,report_fraud
i think my chase account has been compromised and fraud committed,report_fraud
i think there's fraud on my account,report_fraud
i need to report a card that's been lost but i dont know how,report_lost_card
i need to report that my card is lost,report_lost_card
i can't find my credit card and i want to report it as lost,report_lost_card
"i can't locate my mastercard and i want to report it as lost, please",report_lost_card
report lost card to discover company,report_lost_card
go to default setting,reset_settings
change back to your initial settings please,reset_settings
please reset the factory settings,reset_settings
go back to the factory settings for this device,reset_settings
i want to go back to the factory settings,reset_settings
make a reservation for tuesday at 7:00 pm at cielo for 2,restaurant_reservation
can you set me up for a reservation for five at outback steakhouse on february 28th at seven pm,restaurant_reservation
please reserve a table for two at rouge for 7:00 pm,restaurant_reservation
i want to make a reservation for 8 pm at red robin for 3,restaurant_reservation
can you get me a table for 4 at steve's,restaurant_reservation
do people like chipotle,restaurant_reviews
how are the reviews for spaghetti at the olive garden,restaurant_reviews
does buffalo wild wings have good reviews,restaurant_reviews
how are the donuts reviews at tgi,restaurant_reviews
does outback steakhouse have good reviews,restaurant_reviews
i am hungry and need a restaurant suggestion,restaurant_suggestion
do you know of any good mexican restaurants in seattle,restaurant_suggestion
"suggest a restaurant for me to eat tonight, please",restaurant_suggestion
find me a good spot for southern comfort food in los angeles,restaurant_suggestion
what's the best place for some thai in new york city,restaurant_suggestion
what's the total number of points i earned so far with my chase rewards card,rewards_balance
i have how many points on my amex right now,rewards_balance
how many points are on my speedway card right now,rewards_balance
figure out my reward points for discovery card,rewards_balance
what is my wells fargo card's rewards balance,rewards_balance
i need a 10 sided die rolled,roll_dice
6 sided dice roll,roll_dice
roll dice please,roll_dice
roll the dice,roll_dice
i want to roll some dice,roll_dice
how do i redirect my 401k,rollover_401k
"i have a new job, help me with my 401k rollover",rollover_401k
i switched companies and need to rollover my 401k,rollover_401k
i just acquired a new job but i need help with my 401k rollover,rollover_401k
"i got a new job, can you help me with my 401k rollover",rollover_401k
what is the routing number for royal,routing
i need to know the routing number for my checking,routing
where do i find the routing number for usaa,routing
how can i find my routing number from bank of america,routing
i need to know the routing number for my wells fargo account,routing
could you schedule car maintenance for me,schedule_maintenance
make an appointment to check my tires,schedule_maintenance
i need someone to look at my car because my check engine light is on,schedule_maintenance
where in sacramento ca i schedule maintenance on my car,schedule_maintenance
schedule a time to get my oil changed,schedule_maintenance
"between 9:00 am and 11:00 am, are there meeting rooms available",schedule_meeting
are any rooms free from 12 to 1,schedule_meeting
i have to meet with sam at 9:00am in two days,schedule_meeting
help me get a meeting set up,schedule_meeting
can i book a meeting room from 2:00 pm to 3:00 pm,schedule_meeting
i would like to share my location with my mom,share_location
let lucy know my gps coordinates,share_location
please let my mom and dad know my location,share_location
let shih chieh see my location,share_location
tell base camp my gps coordinates,share_location
do i need milk at the store,shopping_list
can you tell me whats on my shopping list,shopping_list
what do i need to go shopping for,shopping_list
what did i put on my shopping list so far,shopping_list
can you tell me what i have on my shopping list,shopping_list
put carrots on my shopping list,shopping_list_update
take fresh carrots off my shopping list,shopping_list_update
i want you to remove shampoo from my shopping list,shopping_list_update
"do i have bananas on my list, if not please put them on the list",shopping_list_update
can you take frozen food of my shopping list,shopping_list_update
make the temperature 78 in here,smart_home
what is my ac set to right now,smart_home
who is knocking,smart_home
dim the main lights please,smart_home
remember to lock the doors,smart_home
count the number of the letter a in happiness,spelling
how do you spell guerrilla,spelling
how do you spell tomato,spelling
the word 'you' got how many letters,spelling
how do you spell syzygy,spelling
how much have i spent on food in the past week,spending_history
i need to know what i spend on utilities for the last year,spending_history
i need to know what i have spent on food recently,spending_history
have i been spending a lot on roast beef lately,spending_history
please tell me how much i have spent recently,spending_history
you must connect to my phone,sync_device
i need for you to connect to my phone,sync_device
desync from my phone,sync_device
i wanna disconnect from my phone,sync_device
do you have access to my phone,sync_device
what do i owe in federal taxes,taxes
how much money am i going to lose this year for state taxes,taxes
what do i pay in taxes,taxes
tell me what the tax amount is,taxes
how much as my taxes by the way,taxes
tell me a joke about cows,tell_joke
would you like to tell me a joke,tell_joke
say something hilarious,tell_joke
do you know anything funny about cats,tell_joke
can you make me laugh,tell_joke
text billy and tell him to be at monday's meeting at 3pm,text
text sal and tell them hi,text
text mom i'll talk to you later,text
text bill and tell him i'll be 30 minutes late,text
text william and ask him to pick up organic apples tonight,text
i wish you were here earlier,thank_you
gracias,thank_you
good job with assisting me,thank_you
"nice, excellent!",thank_you
thank you for helping me,thank_you
can you tell me the current time in the pacific timezone,time
i am needing to know the current time in the eastern timezone,time
what's the current time in est,time
tell me what time it is right now,time
what is the exact time right now in the hawaii time zone,time
set up a timer,timer
set timer for 5 minutes,timer
i want a timer for 5 minutes,timer
lets set a timer for me,timer
i need a timer set for 15 minutes,timer
time zone in miami is what like,timezone
what timezone is viet nam in,timezone
what's the timezone for san diego,timezone
could you tell me what timezone reno is in,timezone
the timezone of italy is what,timezone
"i got my new tires a month ago, when should i replace them",tire_change
how many times a year should i change my tires,tire_change
when's the next time i should change my tires,tire_change
how many more miles can i drive before changing my tires,tire_change
"if i replaced my tires on labor day, when should i next replace them",tire_change
tell me how low the air in my tires are,tire_pressure
air amount in tires,tire_pressure
are my tires full or low,tire_pressure
tell me my car's tire pressure level,tire_pressure
are my tires under-inflated,tire_pressure
is cleaning the toilet on my to-do list,todo_list
can i hear the complete to do list just dictated,todo_list
do i have get an oil change on my todo list,todo_list
do i have an item on my todo list related to shopping,todo_list
go ahead and say all of the points on my list of to-do's please,todo_list
please put my acupuncture appointment on my to list,todo_list_update
i want you to clear out my to do list,todo_list_update
please put cleaning on my list of things to do,todo_list_update
take everything off my todo list,todo_list_update
erase all items on my todo list,todo_list_update
is traffic bad on my way to the next mcdonalds,traffic
how bad is the traffic,traffic
what's the traffic like on the way to the amusement park,traffic
will there be traffic on the way to walmart,traffic
how's traffic en route to virginia,traffic
help me get access to my recent transaction history,transactions
i want to see my entertainment transactions,transactions
please tell me my in-person transactions for the last three days using my debit card,transactions
show me the transaction on the food,transactions
what did i spend at target on my barclays card last month,transactions
i want to initiate a transfer from one account to the other,transfer
please transfer $50 to my checking account from credit,transfer
send 100 dollars between bank of the west and bank of america acccounts,transfer
i need to transfer from one account to my second one,transfer
send over a hundred dollars from huntington into saving,transfer
how would i say thank you if i were russian,translate
translate for me hello into french,translate
how would i say goodbye if i were norwegian,translate
what is the correct way to say 'i am a visitor' in french,translate
"how do they say ""who is your father"" in german",translate
look for travel alerts for china,travel_alert
i'd like to see if there's a travel alert for the country,travel_alert
is traveling to dublin safe (will dublin be safe),travel_alert
is there a travel alert for spain,travel_alert
is there a travel alert for russia,travel_alert
i need to let my bank know i am visiting asia soon,travel_notification
let my bank know i will be travelling to the cayman islands,travel_notification
"i am going to asia in a bit, i should tell the bank",travel_notification
im going to be in jamaica from october 4th until october 8th,travel_notification
alert my bank and let them know i'm travelling to japan,travel_notification
is there anything fun to do in berlin,travel_suggestion
what could i do for fun in kentucky,travel_suggestion
can you get me any recommendations for the place i'm traveling to,travel_suggestion
what can a tourist in denver do,travel_suggestion
what kinds of fun touristy things are there to do in boston,travel_suggestion
get me an uber to chilis,uber
set me up with an uber,uber
can i get an uber to union station for 3 riders,uber
can i get an uber for 2 home,uber
i'm going to need an uber to take 4 people to the mall,uber
could you put broken by evanescense to my playlist,update_playlist
add this song to my top 40 playlist,update_playlist
put this song on my edm playlist,update_playlist
list happy on my rb playlist,update_playlist
will you add what i'm listening to to my dinner playlist,update_playlist
what name do you use when addressing me,user_name
what might my name be,user_name
what's my name in your system,user_name
what is the name you have listed for my identity,user_name
"what's the name that you have for me, please",user_name
is it recommended to get any specific shots before i travel to norway,vaccines
i'm going to india do i need some shots,vaccines
"i'm going to south africa, so should i get some vaccinations or anything",vaccines
which countries require vaccinations before entering for travel,vaccines
what are the recommended shots to get before i travel to england,vaccines
who has the tax form that has my wage informaton,w2
where can i get a w2 form,w2
where can i obtain a w2 form,w2
how do i get a w2,w2
i need to get a hold of my w-2 right now,w2
is sparks experiencing bad weather right now,weather
what is today's high temperature predicted to be,weather
what will the weather be this weekend,weather
what's the forecast like for pittsburgh,weather
what is the weather going to be like,weather
lets talk about your hobbies,what_are_your_hobbies
what types of hobbies do you enjoy,what_are_your_hobbies
what hobbies do you do,what_are_your_hobbies
what do you like to do when you have spare time,what_are_your_hobbies
can you describe your hobbies to me,what_are_your_hobbies
what topics can i ask you about,what_can_i_ask_you
what kind of questions are you good at answering,what_can_i_ask_you
what kinds of things are you knowledgable about,what_can_i_ask_you
what kind of questions may i ask you,what_can_i_ask_you
tell me the subjects you're aware of,what_can_i_ask_you
"when referring to you, what name should i use",what_is_your_name
what name should i use to address you,what_is_your_name
and what would your name be,what_is_your_name
what is the ai's name,what_is_your_name
what's your designation,what_is_your_name
what's the song they are playing for us right now,what_song
tell me this song's name,what_song
can you look up the name of this song,what_song
"name this song, please",what_song
what's the name of the current song,what_song
where are your origins located,where_are_you_from
would you care to let me know where you were made,where_are_you_from
"when you were a child, where did you live",where_are_you_from
what country do you consider yourself a citizen of,where_are_you_from
were you born in a hospital,where_are_you_from
can you please lower the volume please,whisper_mode
would you mind switching to whisper mode,whisper_mode
make sure to set yourself to whisper mode before i go to the movie,whisper_mode
i think we should whisper,whisper_mode
change mode to whisper,whisper_mode
who directs your labor,who_do_you_work_for
are you paid by somebody,who_do_you_work_for
who is the person u work for,who_do_you_work_for
what is your boss's name,who_do_you_work_for
you work for what company or person exactly,who_do_you_work_for
can you remember who compiled you,who_made_you
who designed you,who_made_you
i would like to know who programmed this ai,who_made_you
how did you come to be you,who_made_you
tell me the company that produces you and similar machines,who_made_you
that's a yes from me,yes
i have to say affirmative on that one,yes
i believe that's true,yes
that would be yes,yes
that is not false,yes
